year,artist,song,performer,quote,price_k,kind,currency,city,confidence,flags,note,source,id,genius_url,genius_id,genius_year,lyric_location,wiki_title,wiki_birth_place,wiki_origin,wiki_top_city,annotation_url,annotation_text,annotation_votes,image,image_source,song_art,inferred_city,inferred_basis,inferred_url,inferred_confidence,home_city,home_city_source
2000,504 Boyz,Moving Things,,I mean an ounce into a brick / Get it for sixteen five,16.5,buy,USD,"New Orleans, LA",high,,,lyric_search,11,https://genius.com/504-boyz-moving-things-lyrics,6927,2000,,504 Boyz,,"New Orleans, Louisiana, U.S",New Orleans,,,,img/artists/504-boyz-2798.jpg,artist_photo,img/art/6927.jpg,,,,,"New Orleans, LA",curated
2001,JAY-Z,U Don't Know,JAY-Z,"Could make forty off a brick, but one rhyme could beat that",40,profit,USD,"Brooklyn, NY",high,profit_not_price,"profit per brick, not price; excluded from price charts by default",lyric_search,12,https://genius.com/Jay-z-u-dont-know-lyrics,1771,2001,,Jay-Z,"New York City, U.S",,New York,https://genius.com/25463741,"Jay shows how even though he was making good money as a drug dealer, a rap career is must more lucrative.",4,img/artists/ja-z-2.jpg,artist_photo,img/art/1771.jpg,,,,,"Brooklyn, NY",curated
2002,50 Cent,Too Hot,,"I got what you need, nineteen-five a key",19.5,sell,USD,"New York, NY",high,,,lyric_search,13,https://genius.com/50-cent-too-hot-lyrics,7042,2002,,50 Cent,"New York City, U.S",,New York,https://genius.com/25250768,"His connect told him it will cost him $19,500 for a kilogram of cocaine",2,img/artists/50-cent-108.jpg,artist_photo,img/art/7042.jpg,,,,,"New York, NY",curated
2002,Fabolous,Young'n,Fabolous,30 a gram 28 on the keys,28,quoted,USD,"Brooklyn, NY",high,,,lyric_search,14,https://genius.com/Fabolous-youngn-lyrics,19565,2002,,Fabolous,"New York City, U.S",,New York,,,,img/artists/fabolous-3.jpg,artist_photo,img/art/19565.jpg,,,,,"Brooklyn, NY",curated
2004,Boosie Badazz & Webbie,Hustlin',,That whole slab sixteen five you got a profit,16.5,quoted,USD,"Baton Rouge, LA",high,,,lyric_search,15,https://genius.com/Boosie-badazz-and-webbie-hustlin-lyrics,88787,2004,,Boosie Badazz,"Baton Rouge, Louisiana, U.S",,Baton Rouge,,,,img/artists/boosie-badazz-931.jpg,artist_photo,img/art/88787.jpg,,,,,"Baton Rouge, LA",curated
2005,Gucci Mane,Hustle,Gucci Mane,A nigga gotta get the whole thing / Nineteen-five every time my phone ring,19.5,sell,USD,"Atlanta, GA",high,,,lyric_search,16,https://genius.com/Gucci-mane-hustle-lyrics,21956,2005,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/gucci-2006.jpg,manual,img/art/21956.jpg,,,,,"Atlanta, GA",curated
2005,D4L,I'm Da Man,,"Seventeen five, same color t-shirt",17.5,quoted,USD,"Atlanta, GA",medium,,echoes the Jeezy '17.5' figure,lyric_search,17,https://genius.com/D4l-im-da-man-lyrics,15245,2005,,D4L,,"Atlanta, Georgia, U.S",Atlanta,https://genius.com/11130469,"He keeps “work” (a.k.a. drugs) ready to sell. “Seventeen five” is a reference to cocaine prices. Buying a kilo for the low price of $17,500 implies that he’s high up in the drug game. Young Jeezy famously dubbed himself “Mr. 17.5.”

“Same color t-shirt” draws a connection between pure white cocaine and the white t-shirts that are popular with drug dealers.

In 2017, Atlanta rap group Migos used th",16,img/artists/d4l-4882.jpg,artist_photo,img/art/15245.jpg,,,,,"Atlanta, GA",curated
2006,Jeezy,Mr. 17.5,Jeezy,"It's ya boy, Mr. 17.5",17.5,quoted,USD,"Atlanta, GA",high,,"Jeezy's nickname; $17,500 per kilo",lyric_search,18,https://genius.com/Jeezy-mr-175-lyrics,984,2006,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,https://genius.com/29680772,"Jeezy is known as Mr. 17.5 because he can get you a brick of cocaine for $17,500",0,img/artists/jeezy-67.jpg,artist_photo,img/art/984.jpg,,,,,"Atlanta, GA",curated
2006,Jeezy,J.E.E.Z.Y.,Jeezy,"Keep a plug on the white / Mr. 17-5, you niggas know the name",17.5,quoted,USD,"Atlanta, GA",high,,,lyric_search,19,https://genius.com/Jeezy-jeezy-lyrics,48379,2006,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/48379.jpg,,,,,"Atlanta, GA",curated
2006,Rick Ross,Hustlin',Rick Ross,"Sat it on them twenty-twos, birds go for twenty-two",22,sell,USD,"Miami, FL",high,,,lyric_search,20,https://genius.com/Rick-ross-hustlin-lyrics,794,2006,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,,,,img/artists/rick-ross-88.jpg,artist_photo,img/art/794.jpg,,,,,"Miami, FL",curated
2007,Pimp C,True Stories,Pimp C,So I hit the fuckin' slab for the 16.5,16.5,buy,USD,"Houston, TX",high,,,lyric_search,21,https://genius.com/Pimp-c-true-stories-lyrics,2481208,2007,,Pimp C,"Crowley, Louisiana, U.S","Port Arthur, Texas, U.S",Port Arthur,,,,img/artists/pimp-c-2444.jpg,artist_photo,img/art/2481208.jpg,,,,,"Houston, TX",curated
2007,Andre Nickatina,7 Letters Coked Out (Intro),Andre Nickatina,My homie said his go for eighteen five,18.5,sell,USD,"San Francisco, CA",high,,,lyric_search,22,https://genius.com/Andre-nickatina-7-letters-coked-out-intro-lyrics,12445551,2007,,Andre Nickatina,"San Francisco, California, U.S",,San Francisco,,,,img/artists/andre-nickatina-814.jpg,artist_photo,img/art/12445551.jpg,,,,,"San Francisco, CA",curated
2007,DJ Khaled,I'm So Hood (Remix),Young Jeezy,"Seventeen-five, yeah, nigga, I said it",17.5,quoted,USD,"Atlanta, GA",medium,,,lyric_search,23,https://genius.com/Dj-khaled-im-so-hood-remix-lyrics,948,2007,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/948.jpg,,,,,"Atlanta, GA",curated
2008,Jeezy,24 - 23,Jeezy,"I used to pay Kobe, but now I pay LeBron",23,buy,USD,"Atlanta, GA",high,,"Kobe = 24, LeBron = 23; price fell from $24k to $23k. Album The Recession, Sept 2008",lyric_search,24,https://genius.com/Jeezy-24-23-lyrics,1923,2009,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,https://genius.com/20614987,"Jeezy is using popular NBA players jersey numbers to allude to coke prices, and getting a better price as you advance in the game.

In his past he would pay $2400 an ounce (Kobe Bryant wore #24), but now he cops more quantity at a time and gets a discount, paying $2300 (LeBron James wears #23).",2,img/artists/jeezy-67.jpg,artist_photo,img/art/1923.jpg,,,,,"Atlanta, GA",curated
2008,Gucci Mane,Feel Like Cookin',Gucci Mane,Give a brick for the cash charge you seventeen bands,17,sell,USD,"Atlanta, GA",high,,,lyric_search,25,https://genius.com/Gucci-mane-feel-like-cookin-lyrics,2825261,2008,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/gucci-2009.jpg,manual,img/art/2825261.jpg,,,,,"Atlanta, GA",curated
2008,Gucci Mane,In the Trap,,Cop a bird for the twenty nigga all ten,20,buy,USD,"Atlanta, GA",high,,,lyric_search,26,https://genius.com/Gucci-mane-in-the-trap-lyrics,2889996,2008,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/artists/gucci-mane-13.jpg,artist_photo,img/art/2889996.jpg,,,,,"Atlanta, GA",curated
2008,2 Pistols,Gettin' Money Mane,2 Pistols,Whole blocks of Anna White for twenty-two-five,22.5,sell,USD,"Tampa, FL",high,,,lyric_search,27,https://genius.com/2-pistols-gettin-money-mane-lyrics,8273641,2008,,2 Pistols,"Tarpon Springs, Florida, U.S",,Tampa,,,,img/artists/2-pistols-2751.jpg,artist_photo,img/art/8273641.jpg,,,,,"Tampa, FL",curated
2009,JAY-Z,Empire State of Mind,JAY-Z,"If Jeezy's payin' LeBron, I'm payin' Dwyane Wade",3,buy,USD,"Brooklyn, NY",high,outlier;hyperbole;homage,"Answer to Jeezy's 24-23: LeBron = 23 (i.e. $23k), Dwyane Wade = 3 => $3k a kilo. Boast, not a market price",lyric_search,28,https://genius.com/Jay-z-empire-state-of-mind-lyrics,75,2009,,Jay-Z,"New York City, U.S",,New York,https://genius.com/10212428,"This is when I felt like I made it in pop culture. Once Jay Z did it, I felt like I was on that respect level of artists that I respect. I remember where I was, I was with my guys and we were hanging out and somebody texted me like, “Yo, listen to this song.” So I listened to it and then when I heard it, I’m like, “Did he just say what I think he said?”

It’s a lot of different references and obvi",504,img/artists/ja-z-2.jpg,artist_photo,img/art/75.jpg,,,,,"Brooklyn, NY",curated
2009,Kendrick Lamar,Best Rapper Under 25,Kendrick Lamar,Heard about eighteen rappers say that a bird can go for seventeen-point-five,17.5,quoted,USD,"Compton, CA",medium,meta,commentary on other rappers' figure,lyric_search,29,https://genius.com/Kendrick-lamar-best-rapper-under-25-lyrics,66747,2009,,Kendrick Lamar,"Compton, California, U.S",,Compton,https://genius.com/1026919,"At one time, a kilogram of cocaine was worth about $17,500. This is how Young Jeezy got his nickname, Mr. 17.5. .",5,img/artists/kendrick-lamar-1421.jpg,artist_photo,img/art/66747.jpg,,,,,"Compton, CA",curated
2009,Ab-Soul,Introduction,Ab-Soul,Like I'm wrapped in vaseline and go for 18 5 a key,18.5,quoted,USD,"Carson, CA",high,,,lyric_search,30,https://genius.com/Ab-soul-introduction-lyrics,72738,2009,,Ab-Soul,"Los Angeles, California","Carson, California, U.S",Carson,,,,img/artists/ab-soul-2049.jpg,artist_photo,img/art/72738.jpg,,,,,"Carson, CA",curated
2009,French Montana,Bricks & Walls,French Montana,Nah it ain't ten a key / Look homey it's 35,35,sell,USD,"Bronx, NY",high,,,lyric_search,31,https://genius.com/French-montana-bricks-and-walls-lyrics,639713,2009,"Canal Street, New York, NY",French Montana,"Casablanca, Morocco","The Bronx, New York City, U.S",New York,,,,img/artists/french-montana-1583.jpg,artist_photo,img/art/639713.jpg,,,,,"Canal Street, New York, NY",lyric
2009,Gucci Mane,Time To Eat,,"21 a key, 10 five a half a key, 55 a quarter key",21,sell,USD,"Atlanta, GA",high,,,lyric_search,32,https://genius.com/Gucci-mane-time-to-eat-lyrics,75219,2009,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/gucci-2009.jpg,manual,img/art/75219.jpg,,,,,"Atlanta, GA",curated
2009,Lil' Flip & Gudda Gudda,I Keep It Street All Day,,"The bricks go for sixteen, five if I know ya",16.5,sell,USD,"Houston, TX",high,,,lyric_search,33,https://genius.com/Lil-flip-and-gudda-gudda-i-keep-it-street-all-day-lyrics,7112212,2009,,Lil' Flip,"Cloverland, Houston, Texas, U.S",,Houston,,,,img/artists/lil-flip-382.jpg,artist_photo,img/art/7112212.jpg,,,,,"Houston, TX",curated
2009,Raekwon,Ill Figures,,Brick a white nowadays is forty grand invested,40,quoted,USD,"New York, NY",high,,,lyric_search,34,https://genius.com/Raekwon-ill-figures-lyrics,47860,2009,,Raekwon,"Brooklyn, New York City, U.S","Staten Island, New York City, U.S",Staten Island,,,,img/artists/raekwon-76.jpg,artist_photo,img/art/47860.jpg,,,,,"New York, NY",curated
2009,Jeezy,Done It,Jeezy,"One nigga ooh wee, Mr. 17.5",17.5,quoted,USD,"Atlanta, GA",medium,repeat_nickname,,lyric_search,35,https://genius.com/Jeezy-done-it-lyrics,4635,2009,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/4635.jpg,,,,,"Atlanta, GA",curated
2010,Gucci Mane,Swing My Door,Gucci Mane,I count 18-5 every time they swing my door,18.5,sell,USD,"Atlanta, GA",medium,implied_unit,"Burrrprint 2 (2010); Genius page lists 2006. Kilo is implied, never named in the line",lyric_search,37,https://genius.com/Gucci-mane-swing-my-door-lyrics,4967,2006,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,https://genius.com/16034959,"Every time the door to Guwop’s trap house swings shut, he’s sold another brick of cocaine for his “low” price of $18,500.",1,img/gucci-2006.jpg,manual,img/art/4967.jpg,,,,,"Atlanta, GA",curated
2010,Jeezy,Whippin All of Dat,Jeezy,"Man, niggas want thirty for a brick, man",30,buy,USD,"Atlanta, GA",high,,,lyric_search,38,https://genius.com/Jeezy-whippin-all-of-dat-lyrics,9316162,2010,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/jeezy-67.jpg,artist_photo,img/art/9316162.jpg,,,,,"Atlanta, GA",curated
2010,Meek Mill,Bricks,Meek Mill,"Thirty thousand, nigga that's a brick",30,quoted,USD,"Philadelphia, PA",high,,,lyric_search,39,https://genius.com/Meek-mill-bricks-lyrics,459124,2010,,Meek Mill,"Philadelphia, Pennsylvania, U.S",,Philadelphia,https://genius.com/3446636,"A brick is a common term used to describe a pound of drugs, usually cocaine. The name was coined as bricks a packaged in a rectangular shape just like the bricks that building are made of. The bricks Meek is selling are going for $30,000 dollars. This seems like a deal compared to other rappers.",1,img/artists/meek-mill-1319.jpg,artist_photo,img/art/459124.jpg,,,,,"Philadelphia, PA",curated
2010,Roc Marciano,Whateva Whateva,Roc Marciano,Twenty five thousand a key,25,quoted,USD,"Hempstead, NY",high,,,lyric_search,40,https://genius.com/Roc-marciano-whateva-whateva-lyrics,94720,2010,,Roc Marciano,"Hempstead, New York, U.S",,New York,,,,img/artists/roc-marciano-5841.jpg,artist_photo,img/art/94720.jpg,,,,,"Hempstead, NY",curated
2011,D. King (rapper),Supposed to Be,D. King,'Cause bricks go for 11-5 in Dade County,11.5,quoted,USD,"Miami, FL",medium,,,lyric_search,41,https://genius.com/D-king-rapper-supposed-to-be-lyrics,2949437,2011,"Dade County, FL",D.King,,"Crofton, Maryland",,,,,img/art/2949437.jpg,song_art,img/art/2949437.jpg,,,,,"Dade County, FL",lyric
2011,Future,We On Top,,Brick on top of brick they go for 28,28,sell,USD,"Atlanta, GA",high,,,lyric_search,42,https://genius.com/Future-we-on-top-lyrics,2269955,2011,,Future (rapper),"Atlanta, Georgia, U.S",,Atlanta,,,,img/artists/future-2197.jpg,artist_photo,img/art/2269955.jpg,,,,,"Atlanta, GA",curated
2011,Money Gang,Work,,Thirty for a brick and ten percent,30,sell,USD,,medium,,,lyric_search,43,https://genius.com/Money-gang-work-lyrics,8496828,2011,,,,,,,,,img/artists/money-gang-3330165.jpg,artist_photo,img/art/8496828.jpg,"Chicago, IL","No bio found for Money Gang; the track features FBG Brick and FBG Dutchie of Chicago's Fly Boy Gang, so placed on the collaborators' city",,low,"Chicago, IL",inferred
2012,Meek Mill,Dreams and Nightmares (Intro),Meek Mill,"With them bricks, they go for forty, ain't no ten a key",40,sell,USD,"Philadelphia, PA",high,,,lyric_search,44,https://genius.com/Meek-mill-dreams-and-nightmares-intro-lyrics,94014,2012,,Meek Mill,"Philadelphia, Pennsylvania, U.S",,Philadelphia,,,,img/artists/meek-mill-1319.jpg,artist_photo,img/art/94014.jpg,,,,,"Philadelphia, PA",curated
2012,Jeezy,The Motto (Remix),,"Birds for the thirty-three, I got my Larry on",33,sell,USD,"Atlanta, GA",high,,,lyric_search,45,https://genius.com/Jeezy-the-motto-remix-lyrics,64090,2012,,Jeezy,"Columbia, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,https://genius.com/559347,"Gibbs here compares his coke prices ($33,000 for a “bird”, or kilo) with another bird affiliated with the number 33, fellow Indiana native and Boston Celtics basketball legend Larry Bird",0,img/artists/jeezy-67.jpg,artist_photo,img/art/64090.jpg,,,,,"Atlanta, GA",curated
2012,Gunplay,Bible on the Dash,Gunplay,When a brick was seventeen and you ain't have to rob your plug,17,quoted,USD,"Miami, FL",high,retrospective,looking back at an earlier era,lyric_search,46,https://genius.com/Gunplay-bible-on-the-dash-lyrics,87230,2012,,Gunplay (rapper),"Texas, U.S","Carol City, Florida, U.S",Miami,https://genius.com/1078805,Back in the days when a kilos were affordable at a meager 17 stacks. Now Gunplay’s gotta rob his connect cuz the price is too steep.,2,img/artists/gunplay-2286.jpg,artist_photo,img/art/87230.jpg,,,,,"Miami, FL",curated
2012,Yo Gotti,Ain't No Turning Around,,"Hit em' with a key again / For eighteen five, young nigga go live",18.5,sell,USD,"Memphis, TN",high,,,lyric_search,47,https://genius.com/Yo-gotti-aint-no-turning-around-lyrics,98153,2012,,Yo Gotti,"Memphis, Tennessee, U.S",,Memphis,,,,img/artists/yo-gotti-118.jpg,artist_photo,img/art/98153.jpg,,,,,"Memphis, TN",curated
2012,Fredo Santana,Up Them Poles,,Two keys for the forty,20,buy,USD,"Chicago, IL",high,,2 for 40 => 20 each,lyric_search,48,https://genius.com/Fredo-santana-up-them-poles-lyrics,108388,2012,,Fredo Santana,"Chicago, Illinois, U.S",,Chicago,,,,img/artists/fredo-santana-20757.jpg,artist_photo,img/art/108388.jpg,,,,,"Chicago, IL",curated
2012,Alpoko Don Aka Don Dada,Married to the Game,Alpoko Don,Eight brick full / Fifteen a piece,15,sell,USD,"Greenville, SC",medium,,,lyric_search,49,https://genius.com/Alpoko-don-aka-don-dada-married-to-the-game-lyrics,2438112,2012,,,,,,,,,img/artists/alpoko-don.jpg,manual,,,,,,"Greenville, SC",curated
2013,Pusha T,Millions,Rick Ross,"Got a kilo for 20, my choppas say I'm the shit",20,buy,USD,"Miami, FL",high,,,lyric_search,50,https://genius.com/Pusha-t-millions-lyrics,108547,2013,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,,,,img/artists/rick-ross-88.jpg,artist_photo,img/art/108547.jpg,,,,,"Miami, FL",curated
2013,Boldy James,For the Birds,Boldy James,Thirty-six for the birds and I need a brick,36,quoted,USD,"Detroit, MI",high,,,lyric_search,51,https://genius.com/Boldy-james-for-the-birds-lyrics,80014,2013,,Boldy James,"Atlanta, Georgia, U.S","Detroit, Michigan, U.S",Detroit,https://genius.com/1373079,"Birds are bricks of cocaine, usually bought in large amounts, and sold on the streets



He needs more cocaine to sell",0,img/artists/boldy-james-11689.jpg,artist_photo,img/art/80014.jpg,,,,,"Detroit, MI",curated
2013,Casino,Communication,,"Thirty-six for a brick, that's the calculation",36,quoted,USD,"Atlanta, GA",high,,,lyric_search,52,https://genius.com/Casino-communication-lyrics,370023,2013,,,,,,,,,img/artists/casino-8805.jpg,artist_photo,img/art/370023.jpg,,,,,"Atlanta, GA",curated
2013,Doe B,30 Piece,Doe B,Bricks go for 30,30,sell,USD,"Montgomery, AL",high,,,lyric_search,53,https://genius.com/Doe-b-30-piece-lyrics,376598,2013,,,,,,,,,img/artists/doe-b-49343.jpg,artist_photo,img/art/376598.jpg,,,,,"Montgomery, AL",curated
2013,Doe B,Don't Want It,,"But if you bring 23, you can get a whole key",23,sell,USD,"Montgomery, AL",high,,,lyric_search,54,https://genius.com/Doe-b-dont-want-it-lyrics,3638810,2013,,,,,,,,,img/artists/doe-b-49343.jpg,artist_photo,img/art/3638810.jpg,,,,,"Montgomery, AL",curated
2013,E-40,Tree in the Load,,"Twenty four five for a brick, man",24.5,quoted,USD,"Vallejo, CA",high,,,lyric_search,55,https://genius.com/E-40-tree-in-the-load-lyrics,1792051,2013,,,,,,,,,img/artists/e-40-405.jpg,artist_photo,img/art/1792051.jpg,,,,,"Vallejo, CA",curated
2013,Meek Mill,I'm Leanin',,Got birds for the twenty five K,25,quoted,USD,"Philadelphia, PA",high,,,lyric_search,56,https://genius.com/Meek-mill-im-leanin-lyrics,228995,2013,,Meek Mill,"Philadelphia, Pennsylvania, U.S",,Philadelphia,,,,img/artists/meek-mill-1319.jpg,artist_photo,img/art/228995.jpg,,,,,"Philadelphia, PA",curated
2013,Tracy T,16,,"Whole thing for 33, that's Patrick Ewing nigga",33,sell,USD,"Atlanta, GA",high,,,lyric_search,57,https://genius.com/Tracy-t-16-lyrics,285996,2013,,,,,,,,,img/artists/tracy-t-103674.jpg,artist_photo,img/art/285996.jpg,,,,,"Atlanta, GA",curated
2013,Waka Flocka Flame,Fast Forward,Waka Flocka Flame,"The bricks go for 35, that's KD",35,sell,USD,"Atlanta, GA",high,,,lyric_search,58,https://genius.com/Waka-flocka-flame-fast-forward-lyrics,127963,2013,,Waka Flocka Flame,"New York City, U.S","Riverdale, Georgia, U.S",Atlanta,,,,img/artists/waka-flocka-flame-257.jpg,artist_photo,img/art/127963.jpg,,,,,"Atlanta, GA",curated
2013,Waka Flocka Flame,Murda She Wrote,,"I'm 'bout to up the price / 65,000 for a brick of white",65,sell,USD,"Atlanta, GA",medium,,,lyric_search,59,https://genius.com/Waka-flocka-flame-murda-she-wrote-lyrics,117101,2013,,Waka Flocka Flame,"New York City, U.S","Riverdale, Georgia, U.S",Atlanta,,,,img/artists/waka-flocka-flame-257.jpg,artist_photo,img/art/117101.jpg,,,,,"Atlanta, GA",curated
2013,Wale,Bricks,,"Now 16, getting them bricks for the 16",16,buy,USD,,medium,wordplay,,lyric_search,60,https://genius.com/Wale-bricks-lyrics,177576,2013,,Wale (rapper),"Washington, D.C., U.S",,New York,,,,img/artists/wale-396.jpg,artist_photo,img/art/177576.jpg,,,,,New York,wiki_top_city
2013,SBOE,Money Cars Clothes,,"I fronted 2, charging 45 each brick",45,sell,USD,"Queens, NY",medium,,,lyric_search,61,https://genius.com/Sboe-money-cars-clothes-lyrics,149615,2013,,,,,,,,,img/art/149615.jpg,song_art,img/art/149615.jpg,,,,,"Queens, NY",curated
2013,Joey Fatts,PushaMan,,Five for the O and fifteen for the whole thing,15,sell,USD,"Long Beach, CA",high,,,lyric_search,62,https://genius.com/Joey-fatts-pushaman-lyrics,175131,2013,,Joey Fatts,,"Long Beach, California, U.S",Long Beach,,,,img/artists/joey-fatts-19673.jpg,artist_photo,img/art/175131.jpg,,,,,"Long Beach, CA",curated
2014,O.T. Genasis,Funk Flex Freestyle,O.T. Genasis,"Plug said, ""Thirty for a brick now""",30,buy,USD,"Long Beach, CA",high,,,lyric_search,63,https://genius.com/Ot-genasis-funk-flex-freestyle-lyrics,593975,2014,,O. T. Genasis,"Long Beach, California, U.S",,Los Angeles,,,,img/artists/o-t-genasis-154225.jpg,artist_photo,img/art/593975.jpg,,,,,"Long Beach, CA",curated
2014,Dave East,In Some Shit (Part 1),Dave East,"Always used to have the bricks at 19-5, that's taxin'",19.5,sell,USD,"Harlem, NY",high,retrospective,,lyric_search,64,https://genius.com/Dave-east-in-some-shit-part-1-lyrics,2821866,2014,,Dave East,"New York City, U.S",,New York,,,,img/artists/dave-east-103654.jpg,artist_photo,img/art/2821866.jpg,,,,,"Harlem, NY",curated
2014,E-40,Same Since '88,,Thirty-eight a brick on a hundred flip,38,quoted,USD,"Vallejo, CA",high,,,lyric_search,65,https://genius.com/E-40-same-since-88-lyrics,1872473,2014,,,,,,,,,img/artists/e-40-405.jpg,artist_photo,img/art/1872473.jpg,,,,,"Vallejo, CA",curated
